Name;Sector;Ticker;Country,
National Australia Bank;Financials;NAB.AX;Australia,
Newcrest Mining;Materials;NCM;Australia,
Oil Search;Energy;OSH;Australia,
Orica;Materials;ORI;Australia,
Origin Energy;Energy;ORG.AX;Australia,
Qantas;Industrials;QAN.AX;Australia,
QBE Insurance Group;Financials;QBE.AX;Australia,
Ramsay Health Care;Healthcare;RHC.AX;Australia,
Rio Tinto;Materials;RIO;Australia,
Santos;Energy;STO.AX;Australia,
Scentre Group;Real Estate;SCG;Australia,
Sonic Healthcare;Healthcare;SHL;Australia,
South32;Materials;S32.AX;Australia,
Stockland;Financials;SGP.AX;Australia,
Suncorp Group;Financials;SUN;Australia,
Sydney Airport Holdings;Industrials;SYD.AX;Australia,
Telstra;Consumer Discretionary;TLS;Australia,
Transurban;Industrials;TCL.AX;Australia,
Treasury Wine Estates;Consumer Defensive;TWE.AX;Australia,
Vicinity;Financials;VCX.AX;Australia,
Wesfarmers;Industrials;WES;Australia,
Westpac;Financials;WBC.AX;Australia,
Woodside Petroleum;Energy;WPL.AX;Australia,
Woolworths;Consumer Defensive;WOW;Australia,
Ackermans & van Haaren;Financials;ACKB.VI;Belgium,
Aedifica;Real Estate;AED.BR;Belgium,
Ageas;Financials;AGS.VI;Belgium,
AB InBev;Consumer Defensive;ABI.BR;Belgium,
Aperam;Materials;APAM.VI;Belgium,
arGEN-X;Healthcare;ARGX.VI;Belgium,
Barco;Consumer Discretionary;BAR.BR;Belgium,
Cofinimmo;Real Estate;COFB.VI;Belgium,
Colruyt;Consumer Discretionary;COLR.VI;Belgium,
Galapagos;Healthcare;GLPG.VI;Belgium,
GBL;Financials;GBLB.VI;Belgium,
ING Group;Financials;INGA.VI;Belgium,
KBC;Financials;KBC.VI;Belgium,
Proximus;Consumer Discretionary;PROX.VI;Belgium,
Sofina;Financials;SOF.VI;Belgium,
Solvay;Materials;SOLB.VI;Belgium,
Telenet Group;Communication Services;TNET.VI;Belgium,
UCB;Healthcare;UCB.VI;Belgium,
Umicore;Materials;UMI.VI;Belgium,
WDP;Real Estate;WDP.BR;Belgium,
Banco Bradesco;Financials;BBD;Brazil,
Banco do Brasil;Financials;BBAS3.SA;Brazil,
B3;Financials;B3SA3.SA;Brazil,
BRF S.A.;Consumer Defensive;BRFS3.SA;Brazil,
CCR S.A.;Consumer Discretionary;CCRO3.SA;Brazil,
Cielo S.A.;Financials;CIEL3.SA;Brazil,
Companhia Energetica de Minas Gerais (CEMIG);Energy;CIG;Brazil,
Companhia Siderúrgica Nacional;Materials;SID;Brazil,
Companhia de Bebidas das Americas (AmBev);Consumer Defensive;ABEV3.SA;Brazil,
CPFL Energia;Energy;CPFE3.SA;Brazil,
Empresa Brasileira de Aeronáutica (Embraer);Industrials;ERJ;Brazil,
Gerdau;Materials;GGB;Brazil,
Itaú Unibanco;Financials;ITUB4.SA;Brazil,
Itaúsa Investimentos Itau;Financials;ITSA4.SA;Brazil,
Petrobras;Energy;PBR;Brazil,
Ultrapar Participacoes S.A.;Energy;UGPA3.SA;Brazil,
Vale;Materials;VALE;Brazil,
4iG;Consumer Discretionary;4IG.BD;Hungary,
AKKO Invest;Consumer Discretionary;AKKO.BD;Hungary,
ANY Security Printing;Industrials;ANY.BD;Hungary,
Appeninn Asset Management;Real Estate;APPENINN.BD;Hungary,
AutoWallis;Consumer Discretionary;AUTOWALLIS.BD;Hungary,
CIG Pannonia Life Insurance;Financials;CIGPANNONIA.BD;Hungary,
Graphisoft Park;Real Estate;GSPARK.BD;Hungary,
Magyar Telekom;Consumer Discretionary;MTELEKOM.BD;Hungary,
MOL Group;Energy;MOL.BD;Hungary,
Opus;Consumer Discretionary;OPUS.BD;Hungary,
OTP Bank;Financials;OTP.BD;Hungary,
PannErgy;Consumer Discretionary;PERGY.BD;Hungary,
Waberer's International;Consumer Discretionary;WABERERS.BD;Hungary,
Agnico Eagle Mines Limited;Materials;AEM.TO;Canada,
Algonquin Power & Utilities Corp.;Utilities;AQN.TO;Canada,
Alimentation Couche-Tard Inc.;Consumer Defensive;ATD-B.TO;Canada,
BCE Inc.;Consumer Discretionary;BCE.TO;Canada,
Bank of Montreal;Financials;BMO.TO;Canada,
Bank of Nova Scotia;Financials;BNS.TO;Canada,
Barrick Gold Corporation;Materials;ABX.TO;Canada,
Bausch Health Companies Inc.;Healthcare;BHC.TO;Canada,
Brookfield Asset Management Inc.;Financials;BAM-A.TO;Canada,
Brookfield Infrastructure Partners L.P.;Utilities;BIP-UN.TO;Canada,
Brookfield Property Partners L.P.;Real Estate;BPY-UN.TO;Canada,
CCL Industries Inc.;Consumer Discretionary;CCL-B.TO;Canada,
CGI Inc.;Information Technology;GIB-A.TO;Canada,
Cameco Corporation;Energy;CCO.TO;Canada,
Canadian Apartment Properties Real Estate Investment Trust;Real Estate;CAR-UN.TO;Canada,
